 Name                           Version      License                                                                                          
 entrypoints                    0.4          MIT License                                                                                      
 eoreader                       0.16.1       Apache Software License                                                                          
 executing                      1.0.0        MIT License                                                                                      
 fastjsonschema                 2.16.2       BSD License                                                                                      
 flit-core                      3.7.1        BSD License                                                                                      
 fsspec                         2022.7.1     BSD License                                                                                      
 geopandas                      0.11.1       BSD                                                                                              
 google-api-core                2.10.1       Apache Software License                                                                          
 google-auth                    2.11.1       Apache Software License                                                                          
 google-cloud-core              2.3.2        Apache Software License                                                                          
 google-cloud-storage           2.5.0        Apache Software License                                                                          
 google-crc32c                  1.5.0        Apache Software License                                                                          
 google-resumable-media         2.3.3        Apache Software License                                                                          
 googleapis-common-protos       1.56.4       Apache Software License                                                                          
 h5netcdf                       0.0.0        BSD License                                                                                      
 h5py                           3.7.0        BSD License                                                                                      
 idna                           3.3          BSD License                                                                                      
 importlib-metadata             4.12.0       Apache Software License                                                                          
 importlib-resources            5.9.0        Apache Software License                                                                          
 ipykernel                      6.15.3       BSD License                                                                                      
 ipython                        8.5.0        BSD License                                                                                      
 ipython-genutils               0.2.0        BSD License                                                                                      
 isodate                        0.6.1        BSD License                                                                                      
 jedi                           0.18.1       MIT License                                                                                      
 jmespath                       1.0.1        MIT License                                                                                      
 json5                          0.9.10       Apache Software License                                                                          
 jsonschema                     4.16.0       MIT License                                                                                      
 jupyter-client                 7.3.5        BSD License                                                                                      
 jupyter-core                   4.11.1       BSD License                                                                                      
 jupyter-server                 1.18.1       BSD License                                                                                      
 jupyterlab                     3.4.7        BSD License                                                                                      
 jupyterlab-pygments            0.2.2        BSD                                                                                              
 jupyterlab-server              2.15.1       BSD License                                                                                      
 kiwisolver                     1.4.4        BSD License                                                                                      
 llvmlite                       0.38.1       BSD                                                                                              
 locket                         1.0.0        BSD License                                                                                      
 lockfile                       0.12.2       MIT License                                                                                      
 luigi                          3.1.0        Apache Software License                                                                          
 lxml                           4.9.1        BSD License                                                                                      
 lz4                            4.0.0        BSD License                                                                                      
 matplotlib                     3.3.2        Python Software Foundation License                                                               
 matplotlib-inline              0.1.6        BSD 3-Clause                                                                                     
 memory-profiler                0.60.0       BSD License                                                                                      
 methodtools                    0.4.5        BSD License                                                                                      
 mistune                        2.0.4        BSD License                                                                                      
 msgpack                        1.0.4        Apache Software License                                                                          
 msrest                         0.7.1        MIT License                                                                                      
 munch                          2.5.0        MIT License                                                                                      
 nbclassic                      0.4.3        BSD License                                                                                      
 nbclient                       0.6.8        BSD License                                                                                      
 nbconvert                      7.0.0        BSD License                                                                                      
 nbformat                       5.5.0        BSD License                                                                                      
 nest-asyncio                   1.5.5        BSD License                                                                                      
 networkx                       2.8.6        BSD License                                                                                      
 notebook                       6.4.12       BSD License                                                                                      
 notebook-shim                  0.1.0        BSD License                                                                                      
 numba                          0.55.2       BSD License                                                                                      
 numpy                          1.22.4       BSD License                                                                                      
 oauthlib                       3.2.1        BSD License                                                                                      
 osgeo                          0.0.1        MIT                                                                                              
 osmnx                          1.0.1        MIT License                                                                                      
 packaging                      21.3         Apache Software License; BSD License                                                             
 pandas                         1.4.3        BSD License                                                                                      
 pandocfilters                  1.5.0        BSD License                                                                                      
 parso                          0.8.3        MIT License                                                                                      
 partd                          1.3.0        BSD                                                                                              
 pexpect                        4.8.0        ISC License (ISCL)                                                                               
 pickleshare                    0.7.5        MIT License                                                                                      
 pkgutil-resolve-name           1.3.10       MIT License                                                                                      
 prettymaps                     0.1.3        MIT License                                                                                      
 prometheus-client              0.14.1       Apache Software License                                                                          
 prompt-toolkit                 3.0.31       BSD License                                                                                      
 protobuf                       4.21.6       3-Clause BSD License                                                                             
 psutil                         5.9.1        BSD License                                                                                      
 ptyprocess                     0.7.0        ISC License (ISCL)                                                                               
 pure-eval                      0.2.2        MIT License                                                                                      
 pyOpenSSL                      22.0.0       Apache Software License                                                                          
 pyasn1                         0.5.0rc2     BSD License                                                                                      
 pyasn1-modules                 0.3.0rc1     BSD License                                                                                      
 pycparser                      2.21         BSD License                                                                                      
 pyparsing                      3.0.9        MIT License                                                                                      
 pyproj                         3.3.1        MIT License                                                                                      
 pyrsistent                     0.18.1       MIT License                                                                                      
 pyshp                          2.3.1        MIT                                                                                              
 pystac                         1.6.1        Apache Software License                                                                          
 python-daemon                  2.3.1        Apache Software License                                                                          
 python-dateutil                2.8.2        Apache Software License; BSD License                                                             
 pytz                           2022.1       MIT License                                                                                      
 pyzmq                          24.0.1       BSD License; GNU Library or Lesser General Public License (LGPL)                                 
 rasterio                       1.3.0        BSD License                                                                                      
 requests                       2.28.1       Apache Software License                                                                          
 requests-oauthlib              1.3.1        BSD License                                                                                      
 rioxarray                      0.12.0       Apache Software License                                                                          
 rsa                            4.9          Apache Software License                                                                          
 s2driver                       1.0.0        MIT                                                                                              
 s3transfer                     0.6.0        Apache Software License                                                                          
 scipy                          1.9.1        BSD License                                                                                      
 sertit                         1.16.1       Apache Software License                                                                          
 six                            1.16.0       MIT License                                                                                      
 sniffio                        1.3.0        Apache Software License; MIT License                                                             
 snuggs                         1.4.7        MIT                                                                                              
 sortedcontainers               2.4.0        Apache Software License                                                                          
 soupsieve                      2.3.2.post1  MIT License                                                                                      
 spectral                       0.22.4       MIT License                                                                                      
 stack-data                     0.5.0        MIT License                                                                                      
 tabulate                       0.8.9        MIT License                                                                                      
 tblib                          1.7.0        BSD License                                                                                      
 tenacity                       8.0.1        Apache Software License                                                                          
 terminado                      0.15.0       BSD License                                                                                      
 tinycss2                       1.1.1        BSD License                                                                                      
 tomli                          2.0.1        MIT License                                                                                      
 toolz                          0.12.0       BSD License                                                                                      
 tornado                        6.2          Apache Software License                                                                          
 tqdm                           4.64.0       MIT License; Mozilla Public License 2.0 (MPL 2.0)                                                
 traitlets                      5.4.0        BSD License                                                                                      
 typing-extensions              4.3.0        Python Software Foundation License                                                               
 urllib3                        1.26.11      MIT License                                                                                      
 validators                     0.18.2       MIT License                                                                                      
 wcwidth                        0.2.5        MIT License                                                                                      
 webencodings                   0.5.1        BSD License                                                                                      
 websocket-client               1.4.1        Apache Software License                                                                          
 wirerope                       0.4.6        BSD License                                                                                      
 xarray                         2022.6.0     Apache Software License                                                                          
 zict                           2.2.0        BSD License                                                                                      
 zipp                           3.8.1        MIT License                                                                                      
